layer,neuron_idx,descriptor,pearson_rho
conv_to_fc,35,includesElement__electronegativity_nagle_std,-0.560939753814616
convs.0.bn1,126,includesElement__en_allen_max,-0.511948211334294
convs.0.bn2,101,includesElement__electronegativity_allred-rochow_mean,-0.588666519947029
convs.0.sigmoid,0,includesElement__group_id_max,-0.766942797809319
convs.0.sigmoid,1,includesElement__group_id_max,-0.749753991847296
convs.0.sigmoid,2,includesElement__group_id_max,-0.770610155342648
convs.0.sigmoid,3,includesElement__group_id_max,-0.74346104578551
convs.0.sigmoid,4,includesElement__group_id_max,-0.769360059571092
convs.0.sigmoid,5,includesElement__group_id_max,-0.723051535975794
convs.0.sigmoid,6,includesElement__group_id_max,-0.686622831152169
convs.0.sigmoid,7,includesElement__group_id_max,-0.794486733186264
convs.0.sigmoid,8,includesElement__group_id_max,-0.803029327081914
convs.0.sigmoid,9,includesElement__group_id_max,-0.74250136790619
convs.0.sigmoid,10,includesElement__group_id_max,-0.697963745760977
convs.0.sigmoid,11,includesElement__group_id_max,-0.800344125680304
convs.0.sigmoid,12,includesElement__group_id_max,-0.75018815281306
convs.0.sigmoid,13,includesElement__group_id_max,-0.796948647415774
convs.0.sigmoid,15,includesElement__group_id_max,-0.763358710362079
convs.0.sigmoid,16,includesElement__group_id_max,-0.789406265131715
convs.0.sigmoid,17,includesElement__group_id_max,-0.798592588456767
convs.0.sigmoid,18,includesElement__group_id_max,-0.784809580622504
convs.0.sigmoid,19,includesElement__group_id_max,-0.782281389673679
convs.0.sigmoid,20,includesElement__group_id_max,-0.796560423743616
convs.0.sigmoid,21,includesElement__group_id_max,-0.756129791324372
convs.0.sigmoid,22,includesElement__group_id_max,-0.77525700202742
convs.0.sigmoid,23,includesElement__group_id_max,-0.736242919373988
convs.0.sigmoid,24,includesElement__group_id_max,-0.789725073178
convs.0.sigmoid,25,includesElement__group_id_max,-0.790751855582264
convs.0.sigmoid,26,includesElement__group_id_max,-0.754872723557532
convs.0.sigmoid,27,includesElement__group_id_max,-0.519865920159355
convs.0.sigmoid,28,includesElement__group_id_max,-0.7363518538371
convs.0.sigmoid,29,includesElement__group_id_max,-0.758896339516765
convs.0.sigmoid,30,includesElement__group_id_max,-0.783780994728413
convs.0.sigmoid,31,includesElement__group_id_max,-0.71755838574521
convs.0.sigmoid,32,includesElement__group_id_max,-0.769365745186365
convs.0.sigmoid,33,includesElement__group_id_max,-0.764373520928493
convs.0.sigmoid,35,includesElement__group_id_max,-0.752959949900624
convs.0.sigmoid,36,includesElement__group_id_max,-0.640377888966859
convs.0.sigmoid,37,includesElement__group_id_max,-0.773822204585964
convs.0.sigmoid,38,includesElement__group_id_max,-0.79183340665014
convs.0.sigmoid,39,includesElement__group_id_max,-0.687966044343079
convs.0.sigmoid,40,includesElement__group_id_max,-0.78118755236154
convs.0.sigmoid,41,includesElement__group_id_max,-0.768665359255388
convs.0.sigmoid,42,includesElement__group_id_max,-0.714727946152666
convs.0.sigmoid,43,includesElement__group_id_max,-0.745451245478224
convs.0.sigmoid,44,includesElement__group_id_max,-0.741335055189142
convs.0.sigmoid,45,includesElement__group_id_max,-0.779755805498534
convs.0.sigmoid,46,includesElement__group_id_max,-0.745011767353921
convs.0.sigmoid,47,includesElement__group_id_max,-0.793143537006137
convs.0.sigmoid,48,includesElement__group_id_max,-0.732642619056292
convs.0.sigmoid,49,includesElement__group_id_max,-0.771360372256344
convs.0.sigmoid,50,includesElement__group_id_max,-0.752297389900428
convs.0.sigmoid,51,includesElement__group_id_max,-0.794534850508503
convs.0.sigmoid,52,includesElement__group_id_max,-0.796931334341511
convs.0.sigmoid,53,includesElement__group_id_max,-0.749439227717463
convs.0.sigmoid,54,includesElement__group_id_max,-0.715688553845879
convs.0.sigmoid,55,includesElement__group_id_max,-0.79670307816008
convs.0.sigmoid,56,includesElement__group_id_max,-0.787481644380155
convs.0.sigmoid,57,includesElement__group_id_max,-0.758227859334393
convs.0.sigmoid,58,includesElement__group_id_max,-0.749873769642117
convs.0.sigmoid,59,includesElement__group_id_max,-0.773243168380214
convs.0.sigmoid,60,includesElement__group_id_max,-0.766090159895368
convs.0.sigmoid,61,includesElement__group_id_max,-0.751301015955726
convs.0.sigmoid,62,includesElement__group_id_max,-0.82255950013004
convs.0.sigmoid,63,includesElement__group_id_max,-0.764694200043639
convs.0.sigmoid,64,includesElement__group_id_max,-0.769620578052425
convs.0.sigmoid,65,includesElement__group_id_max,-0.798435681090389
convs.0.sigmoid,66,includesElement__group_id_max,-0.703858825903149
convs.0.sigmoid,67,includesElement__group_id_max,-0.805223167270429
convs.0.sigmoid,68,includesElement__group_id_max,-0.711752229518791
convs.0.sigmoid,69,includesElement__group_id_max,-0.7712143832003
convs.0.sigmoid,70,includesElement__group_id_max,-0.768221623546096
convs.0.sigmoid,71,includesElement__group_id_max,-0.788530114111157
convs.0.sigmoid,73,includesElement__group_id_max,-0.790674088201376
convs.0.sigmoid,74,includesElement__group_id_max,-0.75573773864082
convs.0.sigmoid,75,includesElement__group_id_max,-0.639865645112276
convs.0.sigmoid,76,includesElement__group_id_max,-0.766586718342417
convs.0.sigmoid,77,includesElement__group_id_max,-0.789648354957065
convs.0.sigmoid,78,includesElement__group_id_max,-0.8101109265622
convs.0.sigmoid,79,includesElement__group_id_max,-0.728140442460278
convs.0.sigmoid,80,includesElement__group_id_max,-0.770355923505212
convs.0.sigmoid,81,includesElement__group_id_max,-0.701358522766897
convs.0.sigmoid,82,includesElement__electronegativity_gordy_max,-0.745879408090206
convs.0.sigmoid,83,includesElement__group_id_max,-0.712587794902938
convs.0.sigmoid,84,includesElement__group_id_max,-0.774058165805526
convs.0.sigmoid,85,includesElement__group_id_max,-0.792479311575772
convs.0.sigmoid,86,includesElement__group_id_max,-0.742566066958241
convs.0.sigmoid,87,includesElement__group_id_max,-0.765618923365143
convs.0.sigmoid,88,includesElement__group_id_max,-0.753401877732244
convs.0.sigmoid,89,includesElement__group_id_max,-0.793319058093855
convs.0.sigmoid,90,includesElement__group_id_max,-0.783467583201051
convs.0.sigmoid,91,includesElement__group_id_max,-0.774583906584373
convs.0.sigmoid,92,includesElement__group_id_max,-0.772623068942324
convs.0.sigmoid,93,includesElement__group_id_max,-0.771554647484463
convs.0.sigmoid,94,includesElement__group_id_max,-0.778009350625673
convs.0.sigmoid,95,includesElement__group_id_max,-0.81141848430003
convs.0.sigmoid,96,includesElement__group_id_max,-0.594158197868282
convs.0.sigmoid,97,includesElement__group_id_max,-0.772446380143828
convs.0.sigmoid,98,includesElement__group_id_max,-0.711501319928783
convs.0.sigmoid,99,includesElement__group_id_max,-0.800104885475613
convs.0.sigmoid,100,includesElement__group_id_max,-0.824133496411913
convs.0.sigmoid,101,includesElement__group_id_max,-0.721089720210089
convs.0.sigmoid,102,includesElement__group_id_max,-0.748769392806005
convs.0.sigmoid,103,includesElement__group_id_max,-0.764348849486303
convs.0.sigmoid,104,includesElement__group_id_max,-0.740246327137741
convs.0.sigmoid,105,includesElement__group_id_max,-0.756530534247003
convs.0.sigmoid,106,includesElement__group_id_max,-0.746324250724309
convs.0.sigmoid,107,includesElement__group_id_max,-0.759786741350825
convs.0.sigmoid,108,includesElement__group_id_max,-0.771846175690743
convs.0.sigmoid,109,includesElement__group_id_max,-0.694753657492473
convs.0.sigmoid,110,includesElement__group_id_max,-0.762432359872851
convs.0.sigmoid,111,includesElement__group_id_max,-0.766677251588281
convs.0.sigmoid,112,includesElement__group_id_max,-0.78793815520419
convs.0.sigmoid,113,includesElement__group_id_max,-0.632250153132114
convs.0.sigmoid,114,includesElement__group_id_max,-0.714118691547517
convs.0.sigmoid,115,includesElement__group_id_max,-0.762856417299212
convs.0.sigmoid,116,includesElement__group_id_max,-0.750856575664681
convs.0.sigmoid,117,includesElement__group_id_max,-0.796114394898663
convs.0.sigmoid,118,includesElement__group_id_max,-0.73857267788358
convs.0.sigmoid,119,includesElement__group_id_max,-0.724256902290297
convs.0.sigmoid,120,includesElement__group_id_max,-0.741554098738516
convs.0.sigmoid,121,includesElement__group_id_max,-0.779284996318851
convs.0.sigmoid,122,includesElement__group_id_max,-0.73473749782161
convs.0.sigmoid,123,includesElement__group_id_max,-0.772690994665891
convs.0.sigmoid,124,includesElement__group_id_max,-0.696466139891402
convs.0.sigmoid,125,includesElement__group_id_max,-0.783015926948434
convs.0.sigmoid,126,includesElement__group_id_max,-0.778898862446833
convs.0.sigmoid,127,includesElement__group_id_max,-0.807232178227549
convs.0.sigmoid,128,includesElement__group_id_max,-0.734903010149574
convs.0.sigmoid,129,includesElement__group_id_max,-0.595594934323438
convs.0.sigmoid,130,includesElement__group_id_max,-0.727054749963123
convs.0.sigmoid,131,includesElement__group_id_max,-0.751316128788422
convs.0.sigmoid,132,includesElement__group_id_max,-0.785562573801217
convs.0.sigmoid,133,includesElement__group_id_max,-0.797314978705052
convs.0.sigmoid,134,includesElement__group_id_max,-0.757634414500819
convs.0.sigmoid,135,includesElement__group_id_max,-0.782320679976664
convs.0.sigmoid,136,includesElement__group_id_max,-0.718506593090875
convs.0.sigmoid,137,includesElement__group_id_max,-0.7212275062782
convs.0.sigmoid,138,includesElement__group_id_max,-0.802640703509123
convs.0.sigmoid,139,includesElement__group_id_max,-0.788796243743774
convs.0.sigmoid,140,includesElement__group_id_max,-0.696367722669255
convs.0.sigmoid,141,includesElement__group_id_max,-0.735381979427278
convs.0.sigmoid,142,includesElement__group_id_max,-0.790989075508491
convs.0.sigmoid,143,includesElement__group_id_max,-0.794505801662515
convs.0.sigmoid,144,includesElement__group_id_max,-0.764719848834348
convs.0.sigmoid,145,includesElement__group_id_max,-0.7634257251107
convs.0.sigmoid,146,includesElement__group_id_max,-0.711991030905503
convs.0.sigmoid,147,includesElement__group_id_max,-0.732279325533005
convs.0.sigmoid,148,includesElement__group_id_max,-0.803956078903295
convs.0.sigmoid,149,includesElement__group_id_max,-0.740470657028843
convs.0.sigmoid,150,includesElement__group_id_max,-0.795120333874877
convs.0.sigmoid,151,includesElement__group_id_max,-0.774816826824672
convs.0.sigmoid,152,includesElement__group_id_max,-0.753558343978122
convs.0.sigmoid,153,includesElement__group_id_max,-0.706109364074218
convs.0.sigmoid,154,includesElement__group_id_max,-0.756887566694148
convs.0.sigmoid,155,includesElement__group_id_max,-0.664514206093452
convs.0.sigmoid,156,includesElement__group_id_max,-0.79211972181538
convs.0.sigmoid,157,includesElement__group_id_max,-0.786102639203718
convs.0.sigmoid,158,includesElement__group_id_max,-0.781556461491697
convs.0.sigmoid,159,includesElement__group_id_max,-0.795875539774647
convs.0.sigmoid,160,includesElement__group_id_max,-0.769891710971993
convs.0.sigmoid,161,includesElement__group_id_max,-0.741741943110978
convs.0.sigmoid,162,includesElement__group_id_max,-0.650188166786137
convs.0.sigmoid,163,includesElement__group_id_max,-0.772867692844696
convs.0.sigmoid,164,includesElement__group_id_max,-0.775307854094965
convs.0.sigmoid,165,includesElement__group_id_max,-0.658955642043159
convs.0.sigmoid,166,includesElement__group_id_max,-0.794002736614788
convs.0.sigmoid,167,includesElement__group_id_max,-0.714294738210297
convs.0.sigmoid,168,includesElement__group_id_max,-0.756554700224528
convs.0.sigmoid,169,includesElement__group_id_max,-0.70467974622393
convs.0.sigmoid,170,includesElement__group_id_max,-0.734659241588164
convs.0.sigmoid,171,includesElement__group_id_max,-0.784924311525551
convs.0.sigmoid,172,includesElement__group_id_max,-0.771818202211636
convs.0.sigmoid,173,includesElement__group_id_max,-0.734316734070006
convs.0.sigmoid,174,includesElement__group_id_max,-0.745864652843261
convs.0.sigmoid,175,includesElement__group_id_max,-0.763405378341616
convs.0.sigmoid,176,includesElement__group_id_max,-0.677335442622666
convs.0.sigmoid,177,includesElement__group_id_max,-0.79037948108288
convs.0.sigmoid,178,includesElement__group_id_max,-0.777265465687955
convs.0.sigmoid,179,includesElement__group_id_max,-0.714232286713853
convs.0.sigmoid,180,includesElement__group_id_max,-0.725375079455486
convs.0.sigmoid,181,includesElement__group_id_max,-0.752064449197108
convs.0.sigmoid,182,includesElement__group_id_max,-0.675581601288319
convs.0.sigmoid,183,includesElement__group_id_max,-0.814427402524225
convs.0.sigmoid,184,includesElement__group_id_max,-0.785251346655021
convs.0.sigmoid,185,includesElement__group_id_max,-0.735275478086916
convs.0.sigmoid,186,includesElement__group_id_max,-0.757110114681456
convs.0.sigmoid,187,includesElement__group_id_max,-0.77304828971392
convs.0.sigmoid,188,includesElement__group_id_max,-0.797974433800712
convs.0.sigmoid,189,includesElement__group_id_max,-0.672559198254922
convs.0.sigmoid,190,includesElement__group_id_max,-0.757823486766727
convs.0.sigmoid,191,includesElement__group_id_max,-0.75413129951568
convs.0.softplus1,1,includesElement__electronegativity_allred-rochow_mean,-0.636167461685214
convs.0.softplus1,3,includesElement__en_allen_max,-0.649426451501495
convs.0.softplus1,4,includesElement__electronegativity_allred-rochow_mean,-0.543503202770333
convs.0.softplus1,8,includesElement__en_allen_max,-0.565418277611078
convs.0.softplus1,10,includesElement__electronegativity_nagle_std,-0.555852184353714
convs.0.softplus1,11,includesElement__electronegativity_nagle_std,-0.554549405323404
convs.0.softplus1,13,includesElement__electronegativity_nagle_std,-0.561662491940358
convs.0.softplus1,15,includesElement__electronegativity_allred-rochow_mean,-0.617456788636581
convs.0.softplus1,16,includesElement__electronegativity_nagle_std,-0.536169195265023
convs.0.softplus1,17,includesElement__en_allen_max,-0.503770400882461
convs.0.softplus1,18,includesElement__electronegativity_allred-rochow_mean,-0.555296141365816
convs.0.softplus1,21,includesElement__electronegativity_nagle_std,-0.504514452828008
convs.0.softplus1,22,includesElement__electronegativity_allred-rochow_mean,-0.530146409229414
convs.0.softplus1,23,includesElement__electronegativity_nagle_std,-0.513514149076656
convs.0.softplus1,24,includesElement__electronegativity_allred-rochow_mean,-0.592767724913456
convs.0.softplus1,25,includesElement__electronegativity_allred-rochow_mean,-0.613715555257221
convs.0.softplus1,27,includesElement__en_allen_max,-0.539637444671098
convs.0.softplus1,28,includesElement__group_id_max,-0.598321436703392
convs.0.softplus1,29,includesElement__electronegativity_allred-rochow_mean,-0.653385965516031
convs.0.softplus1,31,includesElement__electronegativity_nagle_std,-0.50123546945475
convs.0.softplus1,33,includesElement__group_id_max,-0.588551919256748
convs.0.softplus1,34,includesElement__electronegativity_nagle_std,-0.50038848750806
convs.0.softplus1,35,includesElement__en_allen_max,-0.608691831921552
convs.0.softplus1,36,includesElement__electronegativity_allred-rochow_mean,-0.588761483153967
convs.0.softplus1,45,includesElement__electronegativity_allred-rochow_mean,-0.645406394188407
convs.0.softplus1,46,includesElement__electronegativity_nagle_std,-0.554309476702012
convs.0.softplus1,47,includesElement__group_id_max,-0.527488970891204
convs.0.softplus1,48,includesElement__en_allen_max,-0.541496238784326
convs.0.softplus1,49,includesElement__electronegativity_allred-rochow_mean,-0.611230691397886
convs.0.softplus1,53,includesElement__group_id_max,-0.560573612538209
convs.0.softplus1,54,includesElement__electronegativity_allred-rochow_mean,-0.608855496867073
convs.0.softplus1,55,includesElement__electronegativity_allred-rochow_mean,-0.621272557045591
convs.0.softplus1,57,includesElement__electronegativity_allred-rochow_mean,-0.561734240553716
convs.0.softplus1,59,includesElement__group_id_max,-0.571342581265811
convs.0.softplus1,62,includesElement__electronegativity_nagle_std,-0.573600659921879
convs.0.softplus1,63,includesElement__electronegativity_allred-rochow_mean,-0.570318786640485
convs.0.softplus1,65,includesElement__en_allen_max,-0.601586873354244
convs.0.softplus1,66,includesElement__electronegativity_allred-rochow_mean,-0.576759456900967
convs.0.softplus1,67,includesElement__electronegativity_allred-rochow_mean,-0.545395281934319
