layer,neuron_idx,descriptor,pearson_rho
conv_to_fc,0,includesElement__electronegativity_nagle_std,0.550759293259383
conv_to_fc,1,includesElement__electronegativity_nagle_std,0.548787019306133
conv_to_fc,4,includesElement__electronegativity_nagle_std,0.559584549484603
conv_to_fc,7,includesElement__electronegativity_nagle_std,0.537506912630059
conv_to_fc,15,includesElement__electronegativity_nagle_std,0.574353682141383
conv_to_fc,27,includesElement__electronegativity_nagle_std,0.514686001429316
conv_to_fc,34,includesElement__electronegativity_nagle_std,0.53242826736525
conv_to_fc,43,includesElement__electronegativity_nagle_std,0.549881853504754
conv_to_fc,45,includesElement__electronegativity_nagle_std,0.547768238854364
conv_to_fc,46,includesElement__electronegativity_nagle_std,0.505206219029742
conv_to_fc,47,includesElement__electronegativity_nagle_std,0.602014799485089
conv_to_fc,53,includesElement__electronegativity_nagle_std,0.562609148214406
conv_to_fc,56,includesElement__electronegativity_nagle_std,0.539155179662893
conv_to_fc,57,includesElement__electronegativity_nagle_std,0.565802881789244
conv_to_fc,58,includesElement__electronegativity_nagle_std,0.532100110962504
conv_to_fc,64,includesElement__electronegativity_nagle_std,0.539867680177346
conv_to_fc,67,includesElement__electronegativity_nagle_std,0.561779482334254
conv_to_fc,73,includesElement__electronegativity_nagle_std,0.513697282755959
conv_to_fc,76,includesElement__electronegativity_nagle_std,0.51323873764047
conv_to_fc,78,includesElement__electronegativity_nagle_std,0.582504220656915
conv_to_fc,79,includesElement__electronegativity_nagle_std,0.551456769694694
conv_to_fc,86,includesElement__electronegativity_nagle_std,0.540427291410794
convs.0.bn2,181,includesElement__electronegativity_allred-rochow_mean,0.502891915292385
convs.0.fc_full,0,includesElement__atomic_radius_rahm_max,0.521136331742304
convs.0.fc_full,5,includesElement__atomic_radius_rahm_max,0.520163714768835
convs.0.fc_full,10,includesElement__atomic_radius_rahm_max,0.505453949530169
convs.0.fc_full,37,includesElement__atomic_radius_rahm_max,0.507974893888032
convs.0.fc_full,44,includesElement__atomic_radius_rahm_max,0.513064613547157
convs.0.fc_full,51,includesElement__atomic_radius_rahm_max,0.511162862976077
convs.0.fc_full,57,includesElement__atomic_radius_rahm_max,0.521352522003296
convs.0.fc_full,60,includesElement__atomic_radius_rahm_max,0.505318578356834
convs.0.fc_full,65,includesElement__atomic_radius_rahm_max,0.527522751292353
convs.0.fc_full,82,includesElement__atomic_radius_rahm_max,0.509786611434713
convs.0.fc_full,95,includesElement__atomic_radius_rahm_max,0.514419708823709
convs.0.fc_full,99,includesElement__atomic_radius_rahm_max,0.510767658082883
convs.0.fc_full,113,includesElement__atomic_radius_rahm_max,0.510718164708331
convs.0.fc_full,135,includesElement__atomic_radius_rahm_max,0.525928233966887
convs.0.fc_full,138,includesElement__atomic_radius_rahm_max,0.501005275502178
convs.0.fc_full,147,includesElement__atomic_radius_rahm_max,0.504325337725839
convs.0.fc_full,150,includesElement__atomic_radius_rahm_max,0.500164804710788
convs.0.fc_full,154,includesElement__atomic_radius_rahm_max,0.508058169575084
convs.0.fc_full,169,includesElement__atomic_radius_rahm_max,0.504695072995638
convs.0.fc_full,170,includesElement__atomic_radius_rahm_max,0.505590712948065
convs.0.fc_full,178,includesElement__atomic_radius_rahm_max,0.502153434571182
convs.0.fc_full,185,includesElement__atomic_radius_rahm_max,0.519323861474307
convs.0.fc_full,186,includesElement__atomic_radius_rahm_max,0.503891618093817
convs.0.fc_full,190,includesElement__atomic_radius_rahm_max,0.522233185591672
convs.0.fc_full,196,includesElement__atomic_radius_rahm_max,0.507656847121177
convs.0.fc_full,198,includesElement__atomic_radius_rahm_max,0.514853542656282
convs.0.fc_full,210,includesElement__atomic_radius_rahm_max,0.503100895354485
convs.0.fc_full,212,includesElement__atomic_radius_rahm_max,0.507061997892917
convs.0.fc_full,236,includesElement__atomic_radius_rahm_max,0.509972069219835
convs.0.fc_full,242,includesElement__atomic_radius_rahm_max,0.511067118782185
convs.0.fc_full,243,includesElement__atomic_radius_rahm_max,0.518740373526647
convs.0.fc_full,245,includesElement__atomic_radius_rahm_max,0.52122601357056
convs.0.fc_full,249,includesElement__atomic_radius_rahm_max,0.502227731660158
convs.0.fc_full,251,includesElement__atomic_radius_rahm_max,0.503026915312142
convs.0.fc_full,253,includesElement__atomic_radius_rahm_max,0.523802650391366
convs.0.fc_full,271,includesElement__atomic_radius_rahm_max,0.521216928245939
convs.0.fc_full,285,includesElement__atomic_radius_rahm_max,0.506821874186767
convs.0.fc_full,293,includesElement__atomic_radius_rahm_max,0.502259235350315
convs.0.fc_full,297,includesElement__atomic_radius_rahm_max,0.515616179175984
convs.0.fc_full,313,includesElement__atomic_radius_rahm_max,0.515557103914761
convs.0.fc_full,323,includesElement__atomic_radius_rahm_max,0.509257448403606
convs.0.fc_full,324,includesElement__atomic_radius_rahm_max,0.50112694674897
convs.0.fc_full,328,includesElement__atomic_radius_rahm_max,0.501630564517698
convs.0.fc_full,331,includesElement__atomic_radius_rahm_max,0.515565434590981
convs.0.fc_full,344,includesElement__atomic_radius_rahm_max,0.508083174480417
convs.0.fc_full,345,includesElement__atomic_radius_rahm_max,0.503991966074017
convs.0.fc_full,362,includesElement__atomic_radius_rahm_max,0.512689407423524
convs.0.fc_full,368,includesElement__atomic_radius_rahm_max,0.506907465753595
convs.0.fc_full,369,includesElement__atomic_radius_rahm_max,0.512068846017708
convs.0.fc_full,370,includesElement__atomic_radius_rahm_max,0.507166036204712
convs.0.sigmoid,0,includesElement__atomic_radius_rahm_max,0.544334663992407
convs.0.sigmoid,1,includesElement__atomic_radius_rahm_max,0.527118258172085
convs.0.sigmoid,2,includesElement__atomic_radius_rahm_max,0.551712560716345
convs.0.sigmoid,3,includesElement__atomic_radius_rahm_max,0.519392480073957
convs.0.sigmoid,4,includesElement__atomic_radius_rahm_max,0.555613452654033
convs.0.sigmoid,7,includesElement__atomic_radius_rahm_max,0.577615804415894
convs.0.sigmoid,8,includesElement__atomic_radius_rahm_max,0.588152248974302
convs.0.sigmoid,9,includesElement__atomic_radius_rahm_max,0.524615718356652
convs.0.sigmoid,11,includesElement__atomic_radius_rahm_max,0.581159068740375
convs.0.sigmoid,12,includesElement__atomic_radius_rahm_max,0.562219979421308
convs.0.sigmoid,13,includesElement__atomic_radius_rahm_max,0.563997756394719
convs.0.sigmoid,15,includesElement__atomic_radius_rahm_max,0.515704305499181
convs.0.sigmoid,16,includesElement__atomic_radius_rahm_max,0.544611640074469
convs.0.sigmoid,17,includesElement__atomic_radius_rahm_max,0.556913851474428
convs.0.sigmoid,18,includesElement__atomic_radius_rahm_max,0.585865201828715
convs.0.sigmoid,19,includesElement__atomic_radius_rahm_max,0.570221882191396
convs.0.sigmoid,20,includesElement__atomic_radius_rahm_max,0.554137778713899
convs.0.sigmoid,21,includesElement__atomic_radius_rahm_max,0.517684793838516
convs.0.sigmoid,22,includesElement__atomic_radius_rahm_max,0.558834861444654
convs.0.sigmoid,24,includesElement__atomic_radius_rahm_max,0.55460505883635
convs.0.sigmoid,25,includesElement__atomic_radius_rahm_max,0.586230572411783
convs.0.sigmoid,26,includesElement__atomic_radius_rahm_max,0.542980846559605
convs.0.sigmoid,28,includesElement__atomic_radius_rahm_max,0.500587130422237
convs.0.sigmoid,29,includesElement__atomic_radius_rahm_max,0.522599886659559
convs.0.sigmoid,30,includesElement__atomic_radius_rahm_max,0.542741055667804
convs.0.sigmoid,31,includesElement__atomic_radius_rahm_max,0.51953471525355
convs.0.sigmoid,32,includesElement__atomic_radius_rahm_max,0.553515015770302
convs.0.sigmoid,33,includesElement__atomic_radius_rahm_max,0.544906400946243
convs.0.sigmoid,35,includesElement__atomic_radius_rahm_max,0.542342200345236
convs.0.sigmoid,37,includesElement__atomic_radius_rahm_max,0.558479361245282
